iter	Passed	Remaining
0	165	165229
1	167	83453
2	168	56061
3	170	42354
4	171	34139
5	172	28646
6	174	24725
7	175	21789
8	177	19503
9	178	17672
10	179	16178
11	181	14965
12	183	13957
13	185	13063
14	187	12287
15	188	11589
16	189	10978
17	191	10430
18	192	9944
19	194	9510
20	195	9113
21	197	8764
22	198	8436
23	199	8132
24	201	7852
25	202	7596
26	204	7356
27	205	7136
28	206	6928
29	208	6736
30	209	6556
31	211	6392
32	212	6235
33	214	6085
34	215	5943
35	216	5809
36	218	5683
37	219	5562
38	221	5447
39	222	5338
40	223	5234
41	225	5146
42	227	5052
43	228	4963
44	229	4876
45	231	4792
46	232	4714
47	233	4637
48	235	4564
49	236	4494
50	238	4430
51	239	4366
52	240	4304
53	242	4244
54	243	4185
55	244	4129
56	246	4075
57	247	4024
58	249	3973
59	250	3924
60	251	3878
61	253	3832
62	254	3788
63	256	3745
64	257	3704
65	258	3663
66	260	3623
67	260	3576
68	262	3539
69	263	3503
70	264	3467
71	266	3434
72	267	3401
73	269	3369
74	270	3337
75	272	3307
76	273	3277
77	274	3247
78	276	3218
79	277	3189
80	278	3162
81	280	3138
82	282	3115
83	283	3093
84	284	3064
85	286	3049
86	288	3027
87	290	3006
88	291	2982
89	292	2960
90	294	2937
91	295	2916
92	296	2894
93	298	2873
94	300	2858
95	301	2838
96	302	2819
97	304	2800
98	305	2781
99	307	2763
100	308	2745
101	309	2722
102	310	2704
103	311	2686
104	313	2671
105	315	2662
106	317	2646
107	318	2629
108	319	2613
109	321	2597
110	322	2582
111	323	2567
112	325	2552
113	326	2537
114	327	2522
115	330	2517
116	331	2503
117	332	2488
118	334	2472
119	335	2459
120	336	2446
121	338	2434
122	339	2418
123	340	2407
124	342	2394
125	343	2384
126	346	2379
127	347	2364
128	348	2352
129	349	2340
130	351	2328
131	352	2317
132	353	2305
133	355	2295
134	356	2284
135	357	2273
136	360	2268
137	361	2256
138	363	2248
139	364	2238
140	365	2228
141	367	2217
142	368	2207
143	369	2198
144	371	2188
145	372	2179
146	374	2175
147	376	2167
148	377	2158
149	379	2149
150	380	2140
151	382	2131
152	383	2122
153	384	2114
154	386	2105
155	387	2096
156	389	2089
157	390	2081
158	392	2075
159	393	2067
160	395	2059
161	396	2051
162	397	2043
163	399	2035
164	401	2030
165	402	2022
166	404	2017
167	405	2009
168	407	2002
169	408	1994
170	409	1987
171	411	1980
172	412	1972
173	414	1967
174	416	1964
175	419	1965
176	422	1962
177	423	1957
178	425	1950
179	426	1943
180	427	1933
181	428	1927
182	430	1921
183	431	1915
184	433	1911
185	435	1905
186	436	1898
187	437	1891
188	439	1885
189	440	1878
190	442	1872
191	443	1867
192	445	1861
193	447	1857
194	448	1852
195	450	1848
196	451	1842
197	453	1837
198	454	1831
199	456	1825
200	457	1820
201	459	1814
202	460	1808
203	463	1808
204	465	1804
205	467	1800
206	468	1795
207	471	1793
208	472	1788
209	474	1784
210	475	1778
211	477	1775
212	479	1773
213	481	1768
214	482	1763
215	484	1758
216	485	1753
217	487	1749
218	489	1744
219	490	1740
220	492	1736
221	494	1732
222	495	1727
