iter	Passed	Remaining
0	50	50070
1	51	25913
2	53	17766
3	55	13940
4	60	11999
5	62	10428
6	65	9263
7	67	8346
8	70	7754
9	74	7401
10	78	7021
11	80	6597
12	82	6241
13	85	5990
14	86	5709
15	92	5711
16	96	5573
17	100	5500
18	107	5574
19	114	5627
20	117	5468
21	124	5539
22	129	5495
23	130	5323
24	132	5159
25	134	5038
26	137	4969
27	139	4835
28	141	4725
29	142	4621
30	145	4550
31	147	4463
32	149	4373
33	151	4313
34	153	4230
35	155	4165
36	156	4084
37	158	4010
38	160	3942
39	161	3881
40	163	3817
41	166	3786
42	168	3738
43	169	3688
44	171	3632
45	172	3579
46	174	3537
47	176	3491
48	177	3443
49	180	3428
50	182	3398
51	184	3371
52	186	3332
53	189	3319
54	191	3287
55	192	3248
56	196	3246
57	197	3215
58	199	3180
59	201	3157
60	203	3129
61	204	3096
62	206	3065
63	207	3034
64	210	3028
65	212	3004
66	213	2975
67	215	2952
68	217	2931
69	218	2905
70	220	2879
71	221	2854
72	223	2839
73	225	2822
74	227	2802
75	229	2784
76	230	2761
77	231	2739
78	233	2717
79	234	2696
80	235	2675
81	237	2662
82	239	2649
83	241	2630
84	242	2612
85	244	2593
86	245	2575
87	246	2559
88	248	2544
89	249	2527
90	251	2510
91	254	2510
92	255	2496
93	257	2480
94	258	2464
95	260	2449
96	261	2435
97	263	2422
98	264	2407
99	265	2393
100	268	2393
101	270	2380
102	271	2366
103	273	2353
104	274	2341
105	276	2330
106	277	2317
107	279	2305
108	280	2294
109	284	2298
110	285	2289
111	287	2278
112	289	2269
113	290	2260
114	292	2249
115	293	2238
116	294	2225
117	296	2213
118	298	2213
119	300	2202
120	301	2192
121	303	2181
122	304	2171
123	306	2162
124	307	2152
125	309	2146
126	310	2135
127	313	2136
128	315	2127
129	316	2118
130	318	2109
131	319	2100
132	320	2090
133	322	2081
134	323	2075
135	325	2066
136	327	2061
137	328	2054
138	330	2045
139	331	2037
140	333	2029
141	334	2018
142	335	2011
143	337	2003
144	338	1996
145	340	1988
146	342	1988
147	344	1982
148	345	1975
149	347	1967
150	348	1960
151	350	1953
152	351	1948
153	353	1942
154	355	1936
155	359	1942
156	361	1938
157	362	1934
158	365	1932
159	367	1927
160	368	1918
161	369	1913
162	373	1917
163	374	1910
164	376	1903
165	377	1898
166	379	1893
167	380	1886
168	382	1879
169	383	1873
170	385	1866
171	387	1867
172	389	1861
173	391	1857
174	393	1854
175	394	1848
176	396	1841
177	397	1835
178	398	1829
179	400	1825
180	402	1822
181	404	1816
182	405	1810
183	407	1805
184	408	1799
185	410	1794
186	411	1789
187	413	1784
188	414	1779
189	417	1781
190	419	1777
191	421	1772
192	422	1768
193	424	1764
194	426	1759
195	427	1754
